"","CCAA","FECHA","CASOS","PCR.","TestAc.","Hospitalizados","UCI","Fallecidos"
"7","CM","20/2/2020",NA,0,NA,NA,NA,NA
"26","CM","21/2/2020",NA,0,NA,NA,NA,NA
"45","CM","22/2/2020",NA,0,NA,NA,NA,NA
"64","CM","23/2/2020",NA,0,NA,NA,NA,NA
"83","CM","24/2/2020",NA,0,NA,NA,NA,NA
"102","CM","25/2/2020",NA,0,NA,NA,NA,NA
"121","CM","26/2/2020",NA,0,NA,NA,NA,NA
"140","CM","27/2/2020",NA,0,NA,NA,NA,NA
"159","CM","28/2/2020",NA,0,NA,NA,NA,NA
"178","CM","29/2/2020",NA,1,NA,NA,NA,NA
"197","CM","1/3/2020",NA,3,NA,NA,NA,NA
"216","CM","2/3/2020",NA,7,NA,NA,NA,NA
"235","CM","3/3/2020",NA,12,NA,NA,NA,NA
"254","CM","4/3/2020",NA,13,NA,NA,NA,NA
"273","CM","5/3/2020",NA,15,NA,NA,NA,NA
"292","CM","6/3/2020",NA,15,NA,NA,NA,NA
"311","CM","7/3/2020",NA,15,NA,NA,NA,NA
"330","CM","8/3/2020",NA,26,NA,21,2,0
"349","CM","9/3/2020",NA,39,NA,31,3,0
"368","CM","10/3/2020",NA,71,NA,46,5,0
"387","CM","11/3/2020",NA,115,NA,72,9,1
"406","CM","12/3/2020",NA,194,NA,128,10,5
"425","CM","13/3/2020",NA,289,NA,191,22,6
"444","CM","14/3/2020",NA,401,NA,247,56,10
"463","CM","15/3/2020",NA,567,NA,319,78,17
"482","CM","16/3/2020",NA,567,NA,402,95,17
"501","CM","17/3/2020",NA,675,NA,498,123,28
"520","CM","18/3/2020",NA,801,NA,633,161,42
"539","CM","19/3/2020",NA,1044,NA,751,180,42
"558","CM","20/3/2020",NA,1423,NA,998,208,84
"577","CM","21/3/2020",NA,1819,NA,1126,249,112
"596","CM","22/3/2020",NA,2078,NA,1410,266,145
"615","CM","23/3/2020",NA,2465,NA,1751,306,216
"634","CM","24/3/2020",NA,2780,NA,1980,334,263
"653","CM","25/3/2020",NA,3383,NA,2266,351,316
"672","CM","26/3/2020",NA,3934,NA,2673,367,367
"691","CM","27/3/2020",NA,4512,NA,3106,383,448
"710","CM","28/3/2020",NA,5246,NA,3430,393,539
"729","CM","29/3/2020",NA,5858,NA,3698,403,622
"748","CM","30/3/2020",NA,6424,NA,4187,408,708
"767","CM","31/3/2020",NA,7047,NA,4590,417,774
"786","CM","1/4/2020",NA,7682,NA,4982,424,854
"805","CM","2/4/2020",NA,8523,NA,5306,431,916
"824","CM","3/4/2020",NA,9324,NA,5556,437,989
"843","CM","4/4/2020",NA,10031,NA,5774,441,1055
"862","CM","5/4/2020",NA,10602,NA,5967,445,1132
"881","CM","6/4/2020",NA,11077,NA,6203,451,1177
"900","CM","7/4/2020",NA,11788,NA,6449,454,1255
"919","CM","8/4/2020",NA,12489,NA,6622,460,1322
"938","CM","9/4/2020",NA,13063,NA,6803,466,1431
"957","CM","10/4/2020",NA,13456,NA,6907,470,1483
"976","CM","11/4/2020",NA,13698,NA,7040,473,1543
"995","CM","12/4/2020",NA,14054,NA,7782,475,1626
"1014","CM","13/4/2020",NA,14329,NA,7830,486,1714
"1033","CM","14/4/2020",NA,14680,NA,7896,495,1755
"1052","CM","15/4/2020",NA,15151,NA,7987,503,1796
"1071","CM","16/4/2020",NA,15997,NA,8018,511,1852
"1090","CM","17/4/2020",NA,16349,NA,8093,514,1913
"1109","CM","18/4/2020",NA,14588,2037,8137,518,1963
"1128","CM","19/4/2020",NA,14725,2071,8173,531,2021
"1147","CM","20/4/2020",NA,14936,2109,8199,534,2075
"1166","CM","21/4/2020",NA,15053,2268,8243,537,2140
"1185","CM","22/4/2020",NA,15128,2429,8304,546,2188
"1204","CM","23/4/2020",NA,15365,2688,8342,553,2255
"1223","CM","24/4/2020",NA,15509,3016,8385,559,2292
"1242","CM","25/4/2020",NA,15609,3386,8417,565,2330
"1261","CM","26/4/2020",NA,15664,3622,8444,579,2365
"1280","CM","27/4/2020",NA,15706,3812,8464,584,2396
"1299","CM","28/4/2020",NA,15785,4010,8523,588,2436
"1318","CM","29/4/2020",NA,15832,4239,8567,592,2463
"1337","CM","30/4/2020",NA,15910,4606,8618,596,2498
"1356","CM","1/5/2020",NA,15967,5056,8645,601,2534
"1375","CM","2/5/2020",NA,16017,5273,8676,604,2565
"1394","CM","3/5/2020",NA,16050,5461,8698,606,2590
"1413","CM","4/5/2020",NA,16080,5576,8725,609,2616
"1432","CM","5/5/2020",NA,16144,6022,8765,612,2647
"1451","CM","6/5/2020",NA,16184,6383,8796,613,2677
"1470","CM","7/5/2020",NA,16237,6671,8828,617,2713
"1489","CM","8/5/2020",NA,16278,7015,8867,621,2738
"1508","CM","9/5/2020",NA,16343,7319,8895,623,2759
"1527","CM","10/5/2020",NA,16387,7482,8918,624,2786
"1546","CM","11/5/2020",NA,16431,7620,8940,629,2811
"1565","CM","12/5/2020",NA,16453,7732,8963,632,2835
"1584","CM","13/5/2020",NA,16470,7861,8980,634,2852
"1603","CM","14/5/2020",NA,16513,8014,9001,635,2870
"1622","CM","15/5/2020",NA,16587,8189,9027,636,2883
"1641","CM","16/5/2020",NA,16618,8290,9054,637,2893
"1660","CM","17/5/2020",NA,16648,8366,9066,637,2898
"1679","CM","18/5/2020",NA,16677,8397,9082,638,2900
"1698","CM","19/5/2020",NA,16739,8546,9122,639,2913
"1717","CM","20/5/2020",NA,16789,8634,9138,639,2919
