mes;Oil;Gas;LPG
ene-20;53.378;3;0
feb-20;53.378;3;0
mar-20;53.378;3;0
abr-20;53.378;3;0
may-20;53.378;3;0
jun-20;53.378;3;0
jul-20;53.378;3;0
ago-20;53.378;3;0
sep-20;53.378;3;0
oct-20;53.378;3;0
nov-20;53.378;3;0
dic-20;53.378;3;0
ene-21;53.378;3;0
feb-21;53.378;3;0
mar-21;53.378;3;0
abr-21;53.378;3;0
may-21;53.378;3;0
jun-21;53.378;3;0
jul-21;53.378;3;0
ago-21;53.378;3;0
sep-21;53.378;3;0
oct-21;53.378;3;0
nov-21;53.378;3;0
dic-21;53.378;3;0
2022;53.378;3;0
2023;53.378;3;0
2024;53.378;3;0
2025;53.378;3;0
2026;53.378;3;0
2027;53.378;3;0
2028;53.378;3;0
2029;53.378;3;0
2030;53.378;3;0
2031;53.378;3;0
2032;53.378;3;0
2033;53.378;3;0
2034;53.378;3;0
2035;53.378;3;0
2036;53.378;3;0
2037;53.378;3;0
2038;53.378;3;0
2039;53.378;3;0
2040;53.378;3;0
2041;53.378;3;0
2042;53.378;3;0
2043;53.378;3;0
2044;53.378;3;0
2045;53.378;3;0
2046;53.378;3;0
2047;53.378;3;0
2048;53.378;3;0
2049;53.378;3;0
2050;53.378;3;0
2051;53.378;3;0
2052;53.378;3;0
2053;53.378;3;0
2054;53.378;3;0
2055;53.378;3;0
2056;53.378;3;0
2057;53.378;3;0
